item,itemLabel,LIMA_media_artist_ID
http://www.wikidata.org/entity/Q106620040,Etcétera,17133
http://www.wikidata.org/entity/Q106619741,Nol de Koning,1310
http://www.wikidata.org/entity/Q106619788,Ivo van Stiphout,2129
http://www.wikidata.org/entity/Q106619780,Rolf Pollen,1807
http://www.wikidata.org/entity/Q106619895,Maarten Sprenger,5130
http://www.wikidata.org/entity/Q106619745,Stephen Littman,1483
http://www.wikidata.org/entity/Q106619879,Morifumi Arimura,4091
http://www.wikidata.org/entity/Q106619999,Pola Chapelle,16332
http://www.wikidata.org/entity/Q106619724,Roel Faassen,802
http://www.wikidata.org/entity/Q106619817,Luz Torsten Seibt,3803
http://www.wikidata.org/entity/Q106619853,Nik Fault,3882
http://www.wikidata.org/entity/Q106619598,René Coelho & Pierre van Berkel,4359
http://www.wikidata.org/entity/Q106619824,Gerard Päs,3813
http://www.wikidata.org/entity/Q106620730,Herbert Capelle,594
http://www.wikidata.org/entity/Q106620453,Auto Awac,3582
http://www.wikidata.org/entity/Q106619944,Display Systems,12605
http://www.wikidata.org/entity/Q106619597,Randy & Berenicci,3899
http://www.wikidata.org/entity/Q106619961,Ron Dubren,14444
http://www.wikidata.org/entity/Q106620462,TBA TV,4106
http://www.wikidata.org/entity/Q106619659,Alexander Ugay & Roman Maskalev,17086
http://www.wikidata.org/entity/Q106619858,Tommy Schneider,3897
http://www.wikidata.org/entity/Q106619812,Hein Reedijk,3759
http://www.wikidata.org/entity/Q106619970,Mario d' Amburgo,15930
http://www.wikidata.org/entity/Q106620464,Made By,4333
http://www.wikidata.org/entity/Q106619615,Bas van Koolwijk & Gert-Jan Prins,13479
http://www.wikidata.org/entity/Q106619888,Matthijs Leijenaar,4316
http://www.wikidata.org/entity/Q106620468,Telewissen,6578
http://www.wikidata.org/entity/Q106619614,John Sturgeon & Aysha Quinn,13470
http://www.wikidata.org/entity/Q106620477,AVÉ,13896
http://www.wikidata.org/entity/Q106619626,Thomas Mohr & Martijn Comes,15578
http://www.wikidata.org/entity/Q106619629,Jan Fabre & Ilya Kabakov,16316
http://www.wikidata.org/entity/Q106619935,Linda Wallace,9345
http://www.wikidata.org/entity/Q19665830,Constant Dullaart,14312
http://www.wikidata.org/entity/Q270388,Jenny Holzer,14058
http://www.wikidata.org/entity/Q65148815,Émeric Lhuisset,17070
http://www.wikidata.org/entity/Q6834473,Michael Smith,2068
http://www.wikidata.org/entity/Q3369739,Jeroen Henneman,3828
http://www.wikidata.org/entity/Q3381070,Phillip Barker,3861
http://www.wikidata.org/entity/Q3484563,Simone Forti,3781
http://www.wikidata.org/entity/Q702439,Jan Fabre,8416
http://www.wikidata.org/entity/Q11929512,Juul Hondius,16950
http://www.wikidata.org/entity/Q276113,Sarah Morris,14011
http://www.wikidata.org/entity/Q3702470,Dara Birnbaum,447
http://www.wikidata.org/entity/Q98760922,Tariq Alvi,15336
http://www.wikidata.org/entity/Q3772753,Godfried Donkor,16955
http://www.wikidata.org/entity/Q61641253,Köken Ergun,13492
http://www.wikidata.org/entity/Q3817219,Juan Downey,22
http://www.wikidata.org/entity/Q267170,Meredith Monk,4181
http://www.wikidata.org/entity/Q123487,Daniel Isaac Feinstein,15925
http://www.wikidata.org/entity/Q61731661,Darcy Lange,1409
http://www.wikidata.org/entity/Q3921955,Michel Szulc-Krzyzanowski,3822
http://www.wikidata.org/entity/Q8022232,Willoughby Sharp,3772
http://www.wikidata.org/entity/Q249985,Jan van Munster,4125
http://www.wikidata.org/entity/Q284264,Nedko Solakov,15841
http://www.wikidata.org/entity/Q328341,Robert Smithson,15807
http://www.wikidata.org/entity/Q366380,Allan Kaprow,3782
http://www.wikidata.org/entity/Q364959,Adolfas Mekas,16333
http://www.wikidata.org/entity/Q4285672,Taus Makhacheva,17125
http://www.wikidata.org/entity/Q465353,Kutluğ Ataman,16924
http://www.wikidata.org/entity/Q168665,Bruce Nauman,4142
http://www.wikidata.org/entity/Q539823,Gábor Bódy,4357
http://www.wikidata.org/entity/Q21033152,Relly Tarlo,3847
http://www.wikidata.org/entity/Q593621,Daniël Buren,3841
http://www.wikidata.org/entity/Q699702,Jonas Mekas,13614
http://www.wikidata.org/entity/Q83286387,Zachary Formwalt,16949
http://www.wikidata.org/entity/Q2693658,Jonas Staal,16935
http://www.wikidata.org/entity/Q96946726,Jano van Gool,15943
http://www.wikidata.org/entity/Q16017720,Giuseppe Chiari,3785
http://www.wikidata.org/entity/Q96987593,Babeth van Loo,5
http://www.wikidata.org/entity/Q19282017,Christoph Draeger,12337
http://www.wikidata.org/entity/Q19296306,Michael Druks,3745
http://www.wikidata.org/entity/Q106620028,Geoffrey Lillemon,17071
http://www.wikidata.org/entity/Q106620446,Fredie Beckmans & Yntse Vugts,6
http://www.wikidata.org/entity/Q106620472,Beide Kunstenaars,12992
http://www.wikidata.org/entity/Q106620450,Sluik / Kurpershoek,2054
http://www.wikidata.org/entity/Q106620014,Janis Rafailidou,16963
http://www.wikidata.org/entity/Q106620030,Brian den Hartog,17074
http://www.wikidata.org/entity/Q106620031,Foundland Collective,17079
http://www.wikidata.org/entity/Q106620458,Lbc Videogroep,3749
http://www.wikidata.org/entity/Q19587492,Anouk De Clercq,12108
